plateifu,mangaid,dr7objid,ra,dec
8718-1902,1-44312,587725551731998974,119.63793,45.329426
8714-9102,1-44722,587725551732719946,120.91888,46.727375
8719-3703,1-44915,587725551733309661,122.13699,47.792995
8720-9102,1-45427,587725551734161601,123.738556,49.458652
8243-6103,1-47342,587725551736586252,129.17485,53.727222
10001-1902,1-48201,587725551738421253,134.19386,56.786747
8135-9102,1-43022,587725552265331049,113.61007,38.628998
8135-3701,1-43241,587725552265658661,114.00214,39.233536
8138-3704,1-44183,587725552268148878,118.02047,44.161453
8138-3701,1-44216,587725552268476555,118.325294,44.865993
8719-12702,1-44745,587725552269459549,120.1992,46.690487
8719-3702,1-44865,587725552270049494,121.3524,47.7442
8720-6102,1-45299,587725552270573825,122.289764,48.871918
8720-12701,1-45291,587725552270639279,122.29896,49.01703
8720-9101,1-45370,587725552270770407,122.64022,49.220196
8720-3702,1-45399,587725552270901461,123.070656,49.37744
8243-1901,1-47415,587725552273719446,129.24281,54.514656
8724-3702,1-48084,587725552274374736,131.11517,55.628532
10001-6103,1-48208,587725552275423294,134.00809,57.390957
10001-3703,1-55612,587725552275619937,134.59149,57.684982
8138-9102,1-44219,587725552805544305,118.328545,45.462025
8714-6101,1-44210,587725552805740776,118.71613,45.822506
8714-1901,1-44798,587725552806592557,120.138596,47.37079
8719-12701,1-44801,587725552806592794,120.13965,47.509754
10001-3701,1-48111,587725552811966613,132.46564,57.14374
10001-6102,1-48116,587725552812032218,132.65395,57.35966
10001-12701,1-48157,587725552812228767,133.37097,57.598587
8624-12702,1-25656,587725575888699637,260.5815,59.076454
7990-9102,1-25609,587725575889027366,260.96307,58.32185
8625-12705,1-24375,587725575889748032,261.70612,56.8108
8626-3702,1-24371,587725575889748203,261.72113,56.848778
9196-3704,1-24798,587725575891190022,263.08374,53.54625
8611-9102,1-23784,587725576424521902,259.79544,61.54227
8611-6102,1-23811,587725576424784073,259.99268,60.89189
8611-12702,1-23746,587725576425177104,260.71878,60.129574
8611-9101,1-25632,587725576425242897,260.67413,59.851887
7990-6103,1-25688,587725576425767161,261.28488,58.76471
7990-6104,1-25593,587725576425832622,261.60764,58.588856
7990-3703,1-24357,587725576426356739,262.09933,57.545406
8626-9101,1-24407,587725576426684611,262.46832,56.82631
8626-3701,1-24295,587725576426750012,262.6764,56.63938
8626-6103,1-24293,587725576426881085,262.6869,56.351974
8626-6101,1-634789,587725576427274570,263.0989,55.414673
8611-1902,1-23729,587725576961982510,261.48248,60.339443
8611-3702,1-25659,587725576962048040,261.46393,60.194126
